year,aggregate
1950,0.86
1951,1.03
1952,1.00
1953,1.69
1954,1.93
1955,2.07
1956,1.62
1957,2.12
1958,1.50
1959,2.34
1960,2.42
1961,2.51
1962,2.38
1963,2.22
1964,2.69
1965,2.36
1966,2.68
1967,2.17
1968,4.12
1969,3.12
1970,3.17
1971,3.90
1972,4.66
1973,4.31
1974,4.92
1975,5.61
1976,5.19
1977,2.95
1978,5.64
1979,5.57
1980,5.41
1981,5.36
1982,5.59
1983,4.24
1984,5.74
1985,6.52
1986,5.87
1987,5.85
1988,6.44
1989,7.62
1990,5.60
1991,4.06
1992,3.60
1993,6.89
1994,4.51
1995,5.85
1996,6.73
1997,6.10
1998,4.56
1999,6.03
2000,7.07
2001,5.35
2002,6.11
2003,7.09
2004,6.75
2005,7.48
2006,6.81
2007,5.83
2008,3.88
2009,4.53
2010,6.36
2011,7.42
